新闻ID,标准选词组,谬误文本,选词关联数量,新闻文本
id,word_group,mistake_word,connect_word,
int,string,string,int,
1001,100101;100102;100103;100104;100105,列宁格勒的面包供应预计将于明日恢复正常,1,
1002,100106;100107;100108;100109;100110;100111;100112,今日莫斯科市民排队秩序良好没有混乱发生,1,
1003,100113;100114;100115;100116;100117;100118;100119,钢铁工厂劳保用品已按计划全部发放至一线工人,1,
1004,100120;100121;100122;100123;100124;100125;100126;100127,总书记再次声明工人阶级对于国家的领导地位永远不会动摇,1,
1005,100128;100129;100130;100131;100132;100133;100134;100135,前任克格勃副主席尼古拉耶莫维奇因通敌叛国罪于今日下午在其住所遭到逮捕,1,
1006,100136;100137;100138;100139;100140;100141;100142;100143;100144,苏军在阿富汗地区对反政府武装的战略军事行动已取得部分阶段性胜利,1,
1007,100145;100146;100147;100148;100149;100150;100151;100152;100153,受军事行动影响，列宁格勒以及基辅的面包供应预计将于明日恢复正常,1,
1008,100154;100155;100156;100157;100158;100159;100160;100161;100162;100163;100164,伟大的革命家、政治家、军事家、思想家、教育家、国家最高领袖弗拉基米尔同志将于明日发表重要演讲,1,
1009,100165;100166;100167;100168;100169;100170;100171;100172;100173;100174;100175,从即日起，在公众场合传播或收听未经审核的笑话，将以侮辱国家领导人的罪论处，最高将判处死刑,1,
1010,100176;100177;100178;100179;100180;100181;100182;100183;100184;100185;100186,全国运动会将于后天开始，天气预报显示为暴雨，但具体天气将在中央批准后可能转为晴天,1,
1011,100187;100188;100189;100190;100191;100192;100193;100194;100195,受恶劣天气影响，列宁格勒、基辅以及塔什干的面包供应预计将于后天恢复正常,1,
1012,100196;100197;100198;100199;100200;100201;100202;100203;100204;100205;100206,经过长达5天的会议，中央政治局决定再进行一次为期7天的扩大会议，来决定下一次会议的具体时间和议程,1,
1013,100207;100208;100209;100210;100211;100212;100213;100214;100215;100216,根据过去60个月的国民经济数据统计，人均GDP同比增长1000%，国内整体经济稳中向好，在全球主要经济体中名列前茅,1,
1014,100217;100218;100219;100220;100221;100222;100223;100224;100225;100226;100227,在经历了对爱沙尼亚、拉脱维亚、哈萨克斯坦和土库曼斯坦的?麤鬱?后，各加盟国表示一致坚决拥护总书记的领导,1,
1015,100228;100229;100230;100231;100232;100233;100234;100235;100236;100237;100238,受国内少数反动分子的影响，列宁格勒、基辅、塔什干以及叶卡捷琳堡的面包供应预计将于下周曭羾皴蜨,1,
1016,100239;100240;100241;100242;100243;100244;100245;100246;100247;100248;100249,受邪恶帝国主义的经济影响，列宁格勒、基辅、塔什干、叶卡捷琳堡以及明斯克的龘靐鼺?预计将于下个月恢复正常,1,
1017,100250;100251;100252;100253;100254,&bgp_01,1,
1018,100255;100256;100257;100258;100259;100260;100261,&bgp_02,1,
1019,100262;100263;100264;100265;100266;100267,&bgp_03,1,
